Customer,Unit #,VIN,Year,Make / Model
STRAIGHT CARGO,119,4V4NC9EH1MN269038,2021,Volvo VNL
ESJ GROUP INC.,119,4V4NC9EH2LN230571,2020,Volvo VNL
Midstate Trucking LLC,12,1TTF532A0P3352771,2023,Benson Aluminium Flatbed
ZM EXPRESS INC,12,3AKJHHDR1JSJV1429,2018,Freightliner Cascadia
EDGARS DELIVERY LLC,12,3AKJHHDR3PSNL2174,2023,Freightliner Cascadia
Aravan Cargo Inc.,12,4V4NC9EH1KN203263,2019,Volvo VNL
RGN,12,4V4NC9EH1KN203263,2019,Volvo VNL
BLUE SKY CARGO,12,4V4NC9EH9JN889034,2018,Volvo VNL
STW LTO,120,1FUJHHDR9LLLV7077,2020,Freightliner Cascadia
BIG DUCK TRUCKING,120,4V4NC9EH3MN281336,2021,Volvo VNL
STRAIGHT CARGO,120,4V4NC9EH3MN281336,2021,Volvo VNL
VR TRANSPORT,120,4V4NC9EH8KN193590,2019,Volvo VNL
ROYCE LLC,120,4V4NC9EH8KN193590,2019,Volvo VNL
ADRENALINE TRANS LLC,120,4V4NC9EH8KN193590,2019,Volvo VNL
EAGLE EYE,1202,1FUJHHDR6NLMX3100,2022,Freightliner Cascadia
DOOR TO DOOR,1206,3AKJGLDV7FSGA1206,2015,Freightliner Cascadia
SEIZE THE WAY INC,121,1FUJHHDR0LLLV7078,2020,Freightliner Cascadia
PGH CARGO LLC,121,1FUJHHDR2LLLV7078,2020,Freightliner Cascadia
VPOWER,121,1FUJHHDR4NLNC0121,2022,Freightliner Cascadia
BORDERLANDERS INC,121,4V4NC9EH3GN956669,2016,Volvo VNL
EAGLE EYE,121,4V4NC9EH3MN287878,2021,Volvo VNL
STRAIGHT CARGO,121,4V4NC9EH3MN287878,2021,Volvo VNL
SARAY EXPRESS INC,1210,3AKJHHDR4MSMG9089,2021,Freightliner Cascadia
ITF GROUP LLC,1211,1FUJHHDR6KLKH3776,2019,Freightliner Cascadia
BLUE DIAMONDS GROUP LLC,1212,4V4NC9EH4LN257433,2020,Volvo VNL
STW LTO,122,1FUJHHDR2LLLV7079,2020,Freightliner New Cascadia 126
BIG DUCK TRUCKING,122,3AKJHHDR5MSMS7518,2021,Freightliner Cascadia
TALE TRANSPORTATION LLC,1224,3AKJHHDR1KSKB5367,2019,Freightliner Cascadia
PINTO EXPRESS,1227,3AKJHHDR6RSUX1227,2024,Freightliner Cascadia
TRB EXPRESS LLC,123,3AKJHHDR7MSMC0663,2021,Freightliner Cascadia
STW LTO,123,3AKJHHDR8MSMN9895,2021,"Freightliner New Cascadia 126 Sleepercab"""
TEST CUSTOMER,123,3AKJHHDRXPSUG9974,2023,Freightliner Cascadia
BIG DUCK TRUCKING,123,4V4NC9EH3MN269042,2021,Volvo VNL
SMM,123,4V4NC9EH7LN204418,2020,Volvo VNL
Aravan Cargo Inc.,123,4V4NC9EH7LN204418,2020,Volvo VNL
BORDERLANDERS INC,123,4V4NC9EH8JN888120,2018,Volvo VNL
Vanner,1231,3AKJHHDR0PSNK1231,2023,Freightliner Cascadia
BIG DUCK TRUCKING,1233,4V4NC9EH4GN959208,2016,Volvo VNL
STRAIGHT CARGO,1233,4V4NC9EH4GN959208,2016,Volvo VNL
MTS TRANSPORT,1234,3AKJGLDR1HSHJ4885,2017,Freightliner Cascadia
STW LTO,124,3AKJHHDRXMSMN9896,2021,"Freightliner New Cascadia 126 Sleepercab"""
ZURVAN,125,3AKJGLDRXHSHL6593,2017,Freightliner Cascadia
STW LTO,125,3AKJHHDR1MSMN9897,2021,Freightliner New Cascadia 126
EAGLE EYE,125,3AKJHHDR6NSMY6000,2022,Freightliner Cascadia
TIM'S,125075,2HSCNAPR07C465753,2007,International L9427
SEIZE THE WAY INC,126,3AKJHHDR3MSMN9898,2021,Freightliner New Cascadia 126
QUALITY FREIGHT LLC,127,1FUJGLDR7JLJH7871,2018,Freightliner Cascadia
UNUM FREIGHT INC,127,3AKJHHDR5MSMN9899,2021,Freightliner New Cascadia 126
ECO EXPRESS,1277,3AKJGLD51FSGJ2531,2015,Freightliner Cascadia
MONGO TRANSPORTATION,128,1FUJGLD57ELFH6950,2014,Freightliner Cascadia
BIG DUCK TRUCKING,128,3AKJHHDR2MSMC1011,2021,Freightliner Cascadia
AL-AMIN TRANSPORTATION LLC,128,3AKJHHDR3LSLM5575,2020,Freightliner Cascadia
AGL CARGO LLC,128,3AKJHHDR3LSLM5575,2020,Freightliner Cascadia
BIG DUCK TRUCKING,128,3AKJHHDR3MSMC0708,2021,Freightliner Cascadia
STW LTO,128,3AKJHHDR8MSMN9900,2021,Freightliner New Cascadia 126
ZEEGOT LOGISTICS LLC,1283,3AKJHHDR4SSWD1283,2025,Freightliner Cascadia
GARAGE KINGS,1289,JALC4W168H7001289,2017,Isuzu NPR-HD
BIG DUCK TRUCKING,129,3AKJHHDR4MSMC0250,2021,Freightliner Cascadia
EAGLE EYE,129,3AKJHHDR4MSMC0250,2021,Freightliner Cascadia
STW LTO,129,3AKJHHDRXMSMN9901,2021,"Freightliner New Cascadia 126 Sleepercab"""
ROYCE LLC,13,3AKJHHDR5KSJY8646,2019,Freightliner Cascadia
AMERICAN TURBO,13,3AKJHHDR5KSKJ3805,2019,Freightliner Cascadia
JAMES EXPRESS,13,4V4NC9EH0MN240825,2021,Volvo VNL
SMM,130,1FUJA6CK67LY60536,2007,Freightliner Columbia
STW LTO,130,3AKJHHDR1MSMN9902,2021,Freightliner Cascadia
EAGLE EYE,130,3AKJHHDRXMSMC0382,2021,Freightliner Cascadia
YULDUZ,130,4V4NC9EH7LN246068,2020,Volvo VNL
MAGIC STATE INC,1301,4V4NC9EJ2GN938148,2016,Volvo VNL
Royal Transit,1306,1UYVS2536K7685020,2019,Utility Trailer Manufacturer Utility Trailer Manufacturer
FOKO LOGISTICS LLC,131,1XKYDP9X3LJ374668,2020,Kenworth T680
STW LTO,131,3AKJHHDR3MSMN9903,2021,Freightliner New Cascadia 126
BIG DUCK TRUCKING,131,3AKJHHDR6MSMC0671,2021,Freightliner Cascadia
EAGLE EYE,1311,3AKJHHDR0LSLL0905,2020,Freightliner Cascadia
EAGLE EYE,132,3AKJHHDR5MSMC0368,2021,Freightliner Cascadia
STW LTO,132,3AKJHHDR5MSMN9904,2021,"Freightliner New Cascadia 126 Sleepercab"""
SEIZE THE WAY INC,1324,1DW1A5323DB370925,2013,Stoughton trailers Stoughton Trailers
TALE TRANSPORTATION LLC,1327,1FUJGLDR3KLKH4907,2019,Freightliner Cascadia
STW LTO,133,3AKJHHDR2MSMT7925,2021,"Freightliner New Cascadia 126 Sleepercab"""
BIG DUCK TRUCKING,133,3AKJHHDRXMSMC0981,2021,Freightliner Cascadia
AL-AMIN TRANSPORTATION LLC,1333,1FUJHHDR2NLMX1009,2022,Freightliner Cascadia
SOLAE TRANSPORT LLC,134,3AKJHHDR4MSMT7926,2021,Freightliner New Cascadia 126
BIG DUCK TRUCKING,134,3AKJHHDR7MSMC0338,2021,Freightliner Cascadia
ROYCE LLC,1341,4V4NC9EH6LN221341,2020,Volvo VNL
STW LTO,135,3AKJHHDR6MSMT7927,2021,Freightliner New Cascadia 126
BIG DUCK TRUCKING,135,3AKJHHDR9MSMC1183,2021,Freightliner Cascadia
EAGLE EYE,1355,4V4NC9EH7KN201355,2019,Volvo VNL
BIG DUCK TRUCKING,136,3AKJHHDR8MSMC1174,2021,Freightliner Cascadia
STW LTO,136,3AKJHHDR8MSMT7928,2021,"Freightliner New Cascadia 126 Sleepercab"""
BEK Trans,1365,52626532XN5000094,2022,Vt Hackney
STW LTO,137,,2021,Freightliner New Cascadia 126
BIG DUCK TRUCKING,137,3AKJHHDR5MSMC0399,2021,Freightliner Cascadia
EAGLE EYE,137,3AKJHHDR5MSMC0399,2021,Freightliner Cascadia
UNILINE,1374,1XKYDP9X6RJ321374,2024,Kenworth T680
NUR TRANSPORTATION,1375,1FUJHHDR9LLLN1375,2020,Freightliner Cascadia
UMAR EXPRESS,1376,526265320N5000105,2022,Vt Hackney
EAGLE EYE,138,3AKJHHDR4MSMC0426,2021,Freightliner Cascadia
BIG DUCK TRUCKING,139,3AKJHHDR2MSMC1235,2021,Freightliner Cascadia
STW LTO,139,3AKJHHDR8MSMT7931,2021,Freightliner New Cascadia 126
Vanner,14,3AKJHHDR1PSNL2173,2023,Freightliner Cascadia
AMERICAN TURBO,14,3AKJHHDR5NSMX1794,2022,Freightliner Cascadia
USTA LLC,14,3AKJHHDR6KSKN0278,2019,"Freightliner New Cascadia 126 Sleepercab"""
YAYA CARGO EXPRESS,14,4Z1GF4020KS005631,2019,Gator Made Gator Made Inc.
STW LTO,140,3AKJHHDRXMSMT7932,2021,"Freightliner New Cascadia 126 Sleepercab"""
FALCON FREIGHT INC,140,4V4NC9EH3PN610654,2023,Volvo VNL
SHAROF TRANS INC,1402,3C63RRGL1JG311402,2018,RAM 3500
EAGLE EYE,141,3AKJHHDR8NSMC1824,2022,Freightliner Cascadia
STW LTO,141,3AKJHHDR8NSMZ8049,2022,Freightliner New Cascadia 126
BIG DUCK TRUCKING,1418,1DW1A5328PSB11418,2023,Stoughton trailers Stoughton trailers
STW LTO,1418,3AKJHHDRXLSKN1418,2020,Freightliner Cascadia
STW LTO,142,3AKJHHDR8NSND2390,2022,"Freightliner New Cascadia 126 Sleepercab"""
GARAGE KINGS,1420,JALC4W162H7001420,2017,Isuzu NPR-HD
SAG TRUCKING,1424,1XKYDP9X6RJ321424,2024,Kenworth T680
SEIZE THE WAY INC,143,3AKJHHDRXNSND2391,2022,Freightliner New Cascadia 126
KABONA TRANSPORTATION LLC,1430,1FUJHHDR5NLNB1430,2022,Freightliner Cascadia
SEIZE THE WAY INC,144,3AKJHHDR1NSND2473,2022,Freightliner Cascadia
EAGLE EYE,144,3AKJHHDR3NSMY6228,2022,Freightliner Cascadia
BEST LOGISTICS TRUCKING,1440,1FUJGLDR3HLHN0234,2017,Freightliner Cascadia 125
STW LTO,1440,1FUJGLDR3HLHN0234,2017,Freightliner Cascadia
BNG CARGO,1441,3AKJGLDR2HSHP5484,2017,Freightliner Cascadia
EAGLE EYE,1444,3AKJHHDV5JSJK14444,2018,Freightliner Cascadia
STRAIGHT CARGO,1444,4V4NC9EH0FN927063,2015,Volvo VNL
SEIZE THE WAY INC,145,3AKJHHDR3NSND2474,2022,"Freightliner New Cascadia 126 Sleepercab"""
IDM EXPRESS LLC,1453,3AKJHHDR5MSLL1453,2021,Freightliner Cascadia
2M TRUCKING LLC,1453,3AKJHHDR5MSLL1453,2021,Freightliner Cascadia
GLOBE TRANSPORTATION GROUP INC,145925,1GRAP062XKK145925,1989,Great Dane Trailers Great Dane Trailers
SEIZE THE WAY INC,146,3AKJHHDR5NSND2475,2022,Freightliner Cascadia
YOU NEED IT WE GET IT TRANSIT LLC,1465,3AKJHHDR0LSLH1465,2020,Freightliner Cascadia
STW LTO,147,3AKJHHDR7NSND2476,2022,Freightliner New Cascadia 126
EAGLE EYE,147,3AKJHHDR8NSMY6225,2022,Freightliner Cascadia
ITF GROUP LLC,147202,3AKJHHDR3RSVK8242,2024,Freightliner Cascadia
ITF GROUP LLC,147203,3AKJHHDR5RSVK8243,2024,Freightliner Cascadia
ITF GROUP LLC,147205,3AKJHHDR9RSVK8245,2024,Freightliner Cascadia
ITF GROUP LLC,147207,3AKJHHDR8RSVK8222,2024,Freightliner Cascadia
ITF GROUP LLC,147208,3AKJHHDRXRSVK8223,2024,Freightliner Cascadia
ITF GROUP LLC,147213,3AKJHHDR9RSVK8228,2024,Freightliner Cascadia
ITF GROUP LLC,147215,3AKJHHDR7RSVK8230,2024,Freightliner Cascadia
ITF GROUP LLC,147219,3AKJHHDR4RSVK8234,2024,Freightliner Cascadia
ROYCE LLC,1474,4V4NC9EH7MN231474,2021,Volvo VNL
GLOBEX,1477,1UYVS2531M2202310,2021,Utility Trailer Manufacturer Utility Trailer Manufacturer
BELDON LLC,148,1UYVS2535L7864148,2020,Utility Trailer Manufacturer Utility Trailer Manufacturer
RAY CARGO CORP,148,1UYVS2535L7864148,2020,Utility Trailer Manufacturer Utility Trailer Manufacturer
EAGLE EYE,148,3AKJHHDR1NSMY6132,2022,Freightliner Cascadia
SEIZE THE WAY INC,148,3AKJHHDR9NSND2477,2022,Freightliner New Cascadia 126
USA SILK WAY,1486,3AKJHHDR9RSUZ1486,2024,Freightliner Cascadia
USA SILK WAY,1487,3AKJHHDR0RSUZ1487,2024,Freightliner Cascadia
EAGLE EYE,149,3AKJHHDR0NSMY6140,2022,Freightliner Cascadia
STW LTO,149,3AKJHHDR0NSND2478,2022,Freightliner New Cascadia 126
STW LTO,1492,JTEBU5JR3H5481492,2017,Toyota 4-Runner
Sunrise,15,3AKJHHDR4PSUE0910,2023,Freightliner Cascadia
Vanner,15,3AKJHHDRXPPSNH9892,2023,Freightliner Cascadia
Vanner,15,3AKJHHDRXPSNH9892,2023,Freightliner Cascadia
EDGARS DELIVERY LLC,15,3AKJHHDRXPSNH9892,2023,Freightliner Cascadia
DA CARGO,15,4V4NC9EH0MN600532,2021,Volvo VNL
S7 TRANSPORTATION LLC,15,4V4NC9EJXPN332404,2023,Volvo VNL
TRUST TRANSPORT INC,15,4V4NC9EJXPN332404,2023,Volvo VNL
EAGLE EYE,150,3AKJHHDR4NSMC1481,2022,Freightliner Cascadia
STW LTO,150,3AKJHHDRXNSND2486,2022,"Freightliner New Cascadia 126 Sleepercab"""
KABONA TRANSPORTATION LLC,150,4V4NC9EHXKN193588,2019,Volvo VNL
VDV TRUCKING INC,150,4V4NC9EHXKN193588,2019,Volvo VNL
LANE SEEKERS LOGISTICS LLC,150,4V4NC9EHXKN193588,2019,Volvo VNL
YAYA CARGO EXPRESS,1500,3C6UR5DL8PG611500,2023,RAM 2500
ROYCE LLC,1501,3HSDZAPR1KN533557,2019,International LT625
SAV GLOBAL,1502,1XKYD49X4LJ395446,2020,Kenworth T680
SAV GLOBAL,1503,5KJJBWDR2NLNN5759,2022,Western Star Trucks New 4900 Chassis
SAV GLOBAL,1508,1XKYDP9X8LJ411293,2020,Kenworth T680
STRAIGHT CARGO,151,3AKJHHDR3NSMC1245,2022,Freightliner Cascadia
EAGLE EYE,151,3AKJHHDR3NSMC1245,2022,Freightliner Cascadia
STW LTO,151,3AKJHHDRXNSNC4727,2022,Freightliner New Cascadia 126
PRIME TRANSPORT LLC,1510,3AKJHHDR1LSLH1510,2020,Freightliner Cascadia
SAV GLOBAL,1514,1M1AN4GY1LM013684,2020,Mack Anthem
META TRANSPORT,1517,3AKJHHDR4KSHX3317,2019,Freightliner Cascadia
PINTO EXPRESS,151805,3H3V532C2JT184011,2018,Hyundai Translead Hyundai Translead Trailers
PINTO EXPRESS,151810,1DW1A5327KBA30595,2019,Stoughton trailers Stoughton trailers
JET LINE,1519,3AKJHHDR5LSLL0432,2020,"Freightliner New Cascadia 126 Sleepercab"""
SMM,1519,3AKJHHDR5LSLL0432,2020,"Freightliner New Cascadia 126 Sleepercab"""
LINK2GO LLC,1519,4V4NC9EH4JN982463,2018,Volvo VNL
YTRUCKING,152,3AKJHHDR0KSKJ3632,2019,Freightliner Cascadia
EAGLE EYE,152,3AKJHHDR1NSMC1258,2022,Freightliner Cascadia
STW LTO,152,3AKJHHDR3PSUE0929,2023,Freightliner Cascadia
SEIZE THE WAY INC,153,3AKJHHDR6PSUG9969,2023,Freightliner Cascadia
EAGLE EYE,153,3AKJHHDR7NSMC1460,2022,Freightliner Cascadia
SEIZE THE WAY INC,154,3AKJHHDR4PSUG9971,2023,Freightliner Cascadia
EAGLE EYE,154,3AKJHHDR5NSMC1439,2022,Freightliner Cascadia
SAM'S TRUCKING CORP,154846,3H3V532C3FT154846,2015,Hyundai Translead Hyundai Translead Trailers
SEIZE THE WAY INC,155,3AKJHHDR2PSUG9970,2023,Freightliner Cascadia
EAGLE EYE,155,3AKJHHDR5NSMC1912,2022,Freightliner Cascadia
WORLDWIDE,155563,4V4NC9EH1GN956458,2016,Volvo VNL
VANCE ENTERPRISES,155573,4V4NC9EH0FN908870,2015,Volvo VNL
DQ EXPRESS,1556,4V4NC9EGXFN178053,2015,Volvo VNL
SEIZE THE WAY INC,156,3AKJHHDR1PSUG9975,2023,Freightliner Cascadia
EAGLE EYE,156,3AKJHHDR6NSMY6241,2022,Freightliner Cascadia
EAGLE EYE,157,3AKJHHDRXNSMC1274,2022,Freightliner Cascadia
STW LTO,157,3AKJHHDRXPSUG9974,2023,Freightliner Cascadia
AUTO HAUL LLC,1574,5VGFW5035P1001574,2023,Kaufman Trailers Of Nc
EAGLE EYE,158,3AKJBBDR5NSMC1876,2022,Freightliner CST120
SEIZE THE WAY INC,158,3AKJHHDR1PSUG9976,2023,Freightliner Cascadia
EAGLE EYE,159,3AKJHHDR4NSMY6254,2022,Freightliner Cascadia
SEIZE THE WAY INC,159,3AKJHHDR5PSUG9977,2023,Freightliner Cascadia
GRPA LOGISTICS LLC,16,3AKJHHDRXLSLK0933,2020,Freightliner Cascadia
GOLDEN BELL,16,4V4NC9EH7GN947702,2016,Volvo VNL
SEIZE THE WAY INC,160,1FUJHHDR1TLWS2932,2026,Freightliner Cascadia
EAGLE EYE,160,3AKJHHDR0NSMC1641,2022,Freightliner Cascadia
ROYCE LLC,160,4V4NC9EH3LN254572,2020,Volvo VNL
ITF GROUP LLC,1602,3AKJGLDR8HSGY9306,2017,Freightliner Cascadia
SEIZE THE WAY INC,161,1FUJHHDR3TLWS2933,2026,Freightliner Cascadia
EAGLE EYE,161,3AKJHHDR2NSMY6303,2022,Freightliner Cascadia
SEIZE THE WAY INC,162,1FUJHHDR5TLWS2934,2026,Freightliner Cascadia
EAGLE EYE,162,3AKJHHDR0NSMY6056,2022,Freightliner Cascadia
SEIZE THE WAY INC,163,1FUJHHDR7TLWS2935,2026,Freightliner Cascadia
EAGLE EYE,163,3AKJHHDR2NSMY6074,2022,Freightliner Cascadia
MIR TRANSPORTATION INC,163153,1UYVS2530GU615554,2016,Utility Trailer Manufacturer Utility Trailer Manufacturer
SEIZE THE WAY INC,164,1FUJHHDR9TLWS2936,2026,Freightliner Cascadia
EAGLE EYE,164,3AKJHHDR8NSMC1466,2022,Freightliner Cascadia
NUR TRANSPORTATION,164,4V4NC9EH6FN928105,2015,Volvo VNL
AAA FREIGHT INC,164059,3H3V532C7LR164059,2020,Hyundai Translead Hyundai Translead Trailers
WAY MOORE TRUCKING LLC,1641,4V4NC9EHXPN611641,2023,Volvo VNL
KAMPF LOGISTICS LLC,1642,4V4NC9EH1PN611642,2023,Volvo VNL
KAMPF LOGISTICS LLC,1648,4V4NC9EH2PN611648,2023,Volvo VNL
LONG HAUL LLC,1649,4V4NC9EH4PN611649,2023,Volvo VNL
WAMEKAN,165,3AKJHHDR0KSKF3897,2019,Freightliner Cascadia
PERFECT 1 LLC,165,3AKJHHDR6KSKG3057,2019,Freightliner Cascadia
BIG DUCK TRUCKING,165117,3H3V532C0LR165117,2020,Hyundai Translead Hyundai Translead Trailers
EKAM,1656,3AKJHHDR5PSNK7610,2023,Freightliner Cascadia
NADZ LOGISTICS INC,1656,3AKJHHDR5PSNK7610,2023,Freightliner Cascadia
GAMIY FREIGHT LLC,1656,3AKJHHDR5PSNK7610,2023,Freightliner Cascadia
GJR TRANSPORTATION INCS,1656,3AKJHHDR5PSNK7910,2023,Freightliner Cascadia
STW LTO,166,3AKJHHDR8KSKG3058,2019,Freightliner Cascadia
EAGLE EYE,166,3AKJHHDRXNSMY6310,2022,Freightliner Cascadia
FLOLOVE TRANSPORTATION,166154,1GRAP0629GD464731,1986,Great Dane Trailers Great Dane Trailers
ISLOM TRUCKING LLC,1668,3AKJGLDR1HDHU1668,2017,Freightliner Cascadia
ITF GROUP LLC,167,3AKJGLDR4HSGP6410,2017,Freightliner Cascadia
BITSHARP CORPORATION,167,3AKJHHDR0RSVK8411,2024,Freightliner Cascadia
EAGLE EYE,168,3AKJHHDR5NSMC1568,2022,Freightliner Cascadia
FRONTLINE EXPRESS,168496,4V4NC9EH7PN332082,2023,Volvo VNL
I&S TRANSPORTATION,169,3AKJHHDR6KSKJ5563,2019,Freightliner Cascadia
CARGOVERSE LLC,17,1FUJGLDRXHLHN5558,2017,Freightliner Cascadia
ADRENALINE TRANS LLC,17,3AKJHHDR2MSMG7969,2021,Freightliner Cascadia
ROYCE LLC,170,4V4NC9EH2KN193620,2019,Volvo VNL
EAGLE EYE,171,3AKJHHDR1PSMY6585,2023,Freightliner Cascadia
BIG DUCK TRUCKING,1719,3AKJHHDR0LSLK0505,2020,Freightliner Cascadia
"FM CARGO, LLC",1719,3AKJHHDR0LSLK0505,2020,Freightliner Cascadia
FRONTLINE EXPRESS,17190,3AKJHHFG9PSUB2466,2023,Freightliner Cascadia
USHA EXPRESS LLC,172,3AKJHHDR4LSLM4936,2020,Freightliner Cascadia
EAGLE EYE,172,3AKJHHDR5PSMY6380,2023,Freightliner Cascadia
KJL STATE LINE,173,3AKJGLDR7HSHV7997,2017,Freightliner Cascadia
SIGMA EXPRESS INC,173,3AKJHHDRXPSMY6438,2023,Freightliner Cascadia
EAGLE EYE,174,3AKJHHDR8PSMY6602,2023,Freightliner Cascadia
NIGHTWELL LOGISTICS,1742,3AKJHHDR1RSUZ1742,2024,Freightliner Cascadia
Allan Transport,176,4V4NC9EJ1FN932582,2015,Volvo VNL
IATE INC,1771,3AKJHHDR8LSLM5023,2020,Freightliner Cascadia
EAGLE EYE,178,3AKJHHDR0PSLK3362,2023,Freightliner Cascadia
ITF GROUP LLC,178161,1GR1P062XLT178161,2020,Great Dane Trailers Great Dane Trailers
ROYCE LLC,1795,3HSDZTZR5KN441795,2019,International LT625
S7 TRANSPORTATION LLC,18,4V4NC9EJ7PN337933,2023,Volvo VNL
MHG EXPRESS,180,1FUGGLDV3FLGC0311,2015,Freightliner Cascadia
DS Express,180,4V4NB9EH2HN976013,2017,Volvo VNL
SS TRUCKING LLC,180,4V4NC9EH3JN887988,2018,Volvo VNL
MAINLINE GLOBE INC,180,4V4NC9EH3JN887988,2018,Volvo VNL
PHOENIX FREIGHT LLC,1804,1JJV532D0JL046542,2018,Wabash National Corporation Dry Van Duraplate
GG CARGO,1805,4V4NC9EH0KN203156,2019,Volvo VNL
EAGLE EYE,181,4V4NC9EH8PN336450,2023,Volvo VNL
5th WHEEL LOGISTICS,1813,3HSDZAPR4KN694551,2019,International LT625
ROYCE LLC,182,3AKJHHDR5LSLT6845,2020,Freightliner Cascadia
LONG HAUL LLC,1822,3AKJHHDR3KSKW1822,2019,Freightliner Cascadia
VIP Global Inc.,1827,3AKJGLDR4GSGZ1827,2016,Freightliner Cascadia
TEZ GLOBAL,1833,1FUJGLD57FLGE3838,2015,Freightliner Cascadia
ITF GROUP LLC,184,4V4NC9EH4KN203158,2019,Volvo VNL
EAGLE EYE,185,3AKJHHDR8PSLK3495,2023,Freightliner Cascadia
DOUBLE TAP TRANSPORTATION LLC,1881,3AKJGLDR7HSHV5117,2017,Freightliner Cascadia
Belen transportation inc,1881,3AKJHHDR3NSNB6047,2022,Freightliner Cascadia
PINTO EXPRESS,1882,1FUJHHDR8NLMX1882,2022,Freightliner New Cascadia 126
PINTO EXPRESS,1884,1FUJHHDR1NLMX1884,2022,"Freightliner New Cascadia 126 Sleepercab"""
PINTO EXPRESS,1886,1FUJHHDR5NLMX1886,2022,"Freightliner New Cascadia 126 Sleepercab"""
BRRR,189,3AKJHHDRXJSJN1557,2018,Freightliner Cascadia
GREEN WAY TRUCKING LNC.,1892,3AKJHHDR2SSVY1892,2025,Freightliner Cascadia
ZEEGOT LOGISTICS LLC,1892,3AKJHHDR2SSVY1892,2025,Freightliner Cascadia
ITF GROUP LLC,189301,1UYVS2538R3189301,2024,Utility Trailer Manufacturer Utility Trailer Manufacturer
LOADPAL,19,3AKJHHDR2JSJP6484,2018,Freightliner Cascadia
BARAKA TRUCKING,190,3AKJHHDRXLSLK0611,2020,Freightliner Cascadia
JUMA EXPRESS INC,190,4V4NC9EH2KN201389,2019,Volvo VNL
LOAD X FREIGHT LLC,190,4V4NC9EH8GN952942,2016,Volvo VNL
VS EXPRESS,1901,3AKJHHDR4JSJX0492,2018,Freightliner Cascadia
US CARGO TRUCKING,1905,4V4NC9EJ0HN990184,2017,Volvo VNL
ARBA EXPRESS,1906,3AKJHHDR6LSLH2734,2020,Freightliner Cascadia
EAGLE EYE,1907,3AKJHHDR1NSMC1907,2022,Freightliner Cascadia
Canbycan llc,1907,3AKJHHDR7LSLL0898,2020,Freightliner Cascadia
FRONTLINE EXPRESS,191036,4V4NC9EH5KN197452,2019,Volvo VNL
TURK TRANSPORTATION LLC,1919,3AKJHHDR9KSKF4904,2019,Freightliner Cascadia
Progressive Carriers LLC.,1932,1S12E9530NE546142,2022,Strick Commercial Trailer Strick Commercial Trailer
PINTO EXPRESS,193304,1DW1A5322KBA30603,2019,Stoughton trailers Stoughton trailers
FRONTLINE EXPRESS,195847,1GRAP0620JT116233,1988,Great Dane Trailers Great Dane Trailers
ITF GROUP LLC,1959,1FUJHHDR3KLKM5597,2019,Freightliner Cascadia
EVEREST EXPRESS,1959,1FUJHHDR3KLKM5597,2019,Freightliner Cascadia
PINTO EXPRESS,1959,3AKJHHDR3KSKN0559,2019,Freightliner Cascadia
HA & HA EXPRESS LLC,196,1FUJHHDR4LLLJ7196,2020,Freightliner Cascadia
GAMBOA LOGISTIC INC,1962,3AKJHHDR3LSLP9452,2020,Freightliner Cascadia
GRPA LOGISTICS LLC,1962,3AKJHHDR3LSLP9452,2020,Freightliner Cascadia
SHOD EXPRESS LLC,1962,3AKJHHDRXMSMF3172,2021,Freightliner Cascadia
SENCO LOGISTICS INC,1963,3AKJHPDV5MSMG1963,2021,Freightliner Cascadia
LINK2GO LLC,1963,3AKJHPDV5MSMG1963,2021,Freightliner Cascadia
IATE INC,1976,3AKJHHDR6LSLM4887,2020,Freightliner Cascadia
BEK TRUCKING LLC,1980,1XKYDP9X5MJ436749,2021,Kenworth T680
PATAGONIA,1981,1JJV532D2FL801651,2015,Wabash National Corporation Dry Van Duraplate
GRPA LOGISTICS LLC,1981,3AKJHHDR4MSMG9285,2021,Freightliner Cascadia
12 GUYS  LLC,1981,3AKJHHDR4MSMG9285,2021,Freightliner Cascadia
PHOENIX / B&I,1984,4V4NC9EH4GN946720,2016,Volvo VNL
ZEROMAX,1985,1FUJHHDR9LLLV7080,2020,Freightliner Cascadia
STW LTO,1985,1FUJHHDR9LLLV7080,2020,"Freightliner New Cascadia 126 Sleepercab"""
MYM CARGO EXPRESS,1985,3AKJHHDR5SSWB1155,2025,Freightliner Cascadia
Iskandar,1985,3AKJHHDR5SSWB1155,2025,Freightliner Cascadia
MSK EXPRESS LLC,1986,3AKJGLDR2JSJS9087,2018,Freightliner Cascadia
GAMIY FREIGHT LLC,1989,1FUJHHDR5MLMJ5607,2021,Freightliner Cascadia
NADZ LOGISTICS INC,1989,1FUJHHDR5MLMJ5607,2021,Freightliner Cascadia
ORM LOGISTICS LLC,1989,1FUJHHDR5MLMJ5607,2021,Freightliner Cascadia
MSH WESTERN INC,1989,4V4NC9EH8LN242434,2020,Volvo VNL
ADRENALINE TRANS LLC,1990,1FUJHHDR1KLKN3990,2019,Freightliner Cascadia
GAMIY FREIGHT LLC,1990,1FUJHHDR3MLMJ5539,2021,Freightliner Cascadia
EAGLE EYE,1990,3AKGHHDR2JSHJ0693,2018,Freightliner Cascadia
Magic Car Inc.,1990,4V4NC9EH3GN938138,2016,Volvo VNL
PROUD EAGLE INC.,1992,4V4NC9EH6GN956441,2016,Volvo VNL
GRPA LOGISTICS LLC,1993,3AKJHHDR5LSLJ4215,2020,Freightliner Cascadia
